address,trans,comforts,education,medical,eatery,culture
대전광역시 동구 가양동 우암로 352-36,0,34,130,56,524,5
대전광역시 동구 가양동 동서대로1748번길 90-1,0,62,143,81,892,11
대전광역시 동구 가양동 우암로326번길 13,0,37,124,54,593,5
대전광역시 동구 가양동 가양로132번길 9,0,62,151,113,902,9
대전광역시 동구 가양동 계족로382번길 130,0,60,134,110,839,11
대전광역시 동구 가양동 비래서로42번안길 47,0,41,117,51,499,6
대전광역시 동구 가양동 동대전로248번길 58,0,47,118,38,590,6
대전광역시 동구 가양동 가양남로13번길 88,0,52,122,49,753,11
대전광역시 동구 가양동 비래서로42번안길 43,0,41,118,51,502,6
대전광역시 동구 가양동 비래서로76번길 9,0,36,109,39,442,6
대전광역시 동구 가양동 합내로 53-11,0,59,145,108,822,11
대전광역시 동구 가양동 동서대로1748번길 88,0,60,143,81,894,11
대전광역시 동구 가양동 비래서로42번안길 49-2,0,41,117,51,497,6
대전광역시 동구 가양동 흥룡로71번길 75,0,48,129,54,571,9
대전광역시 동구 가양동 우암로 340-29,0,36,132,57,552,5
대전광역시 동구 가양동 충정로 116,0,49,111,38,578,7
대전광역시 동구 가양동 흥룡로 30,0,56,137,73,817,10
대전광역시 동구 가양동 흥룡로71번길 90,0,48,121,54,565,8
대전광역시 동구 가양동 흥룡로 56-13,0,46,135,60,658,7
대전광역시 동구 가양동 비래서로42번안길 48,0,41,120,54,508,6
대전광역시 동구 가양동 우암로 211-13,0,46,121,106,755,12
대전광역시 동구 가양동 우암로296번길 12,0,47,132,48,644,6
대전광역시 동구 가양동 우암로203번길 31,0,44,114,111,753,11
대전광역시 동구 가양동 동대전로241번길 33,0,49,108,52,743,10
대전광역시 동구 가양동 동대전로256번길 166,0,24,107,49,445,4
대전광역시 동구 가양동 충정로48번길 7,0,25,99,36,393,4
대전광역시 동구 가양동 흥룡로71번길 109,0,54,125,59,677,11
대전광역시 동구 가양동 우암로277번길 85,0,67,136,92,920,12
대전광역시 동구 가양동 우암로277번길 71,0,65,148,90,928,11
대전광역시 동구 가양동 우암로277번길 73,0,65,147,91,925,11
대전광역시 동구 가양동 동대전로284번길 64,0,45,137,62,699,7
대전광역시 동구 가양동 동대전로284번길 33,0,57,150,82,801,9
대전광역시 동구 가양동 우암로260번길 79,0,51,110,40,709,10
대전광역시 동구 가양동 우암로260번길 77,0,53,110,42,710,10
대전광역시 동구 가양동 비래서로26번길 55,0,63,133,71,847,11
대전광역시 동구 가양동 갱이7길 1,1,43,104,66,681,11
대전광역시 동구 가양동 흥룡로65번길 79,0,63,138,76,863,11
