"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","42.53","201906","24","7,000","11","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","44.52","201907","3","6,900","5","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","56.41","201909","19","7,500","7","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","40.15","201910","18","6,500","10","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","109.96","201910","21","15,700","5","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","59.08","201910","29","8,000","11","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","56.41","201910","29","7,700","1","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","59.08","201911","13","8,500","8","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","43.28","201911","26","6,600","5","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","40.15","201912","23","4,500","6","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","53.28","201912","30","5,500","6","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","40.15","202001","8","6,000","8","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","56.41","202002","3","7,800","5","1998","둔산대로117번길 44"
"대전광역시 서구 월평동","244","244","0","대전 둔산지구 우림필유","67.8","201904","13","15,500","10","2006","대덕대로 319"
"대전광역시 서구 월평동","244","244","0","대전 둔산지구 우림필유","90.61","201904","29","21,000","9","2006","대덕대로 319"
"대전광역시 서구 월평동","244","244","0","대전 둔산지구 우림필유","41.48","201905","2","9,000","5","2006","대덕대로 319"
"대전광역시 서구 월평동","244","244","0","대전 둔산지구 우림필유","90.61","201906","5","20,000","4","2006","대덕대로 319"
"대전광역시 서구 월평동","244","244","0","대전 둔산지구 우림필유","41.48","201906","11","9,650","12","2006","대덕대로 319"
"대전광역시 서구 월평동","244","244","0","대전 둔산지구 우림필유","72.7","201908","22","16,800","7","2006","대덕대로 319"
"대전광역시 서구 월평동","244","244","0","대전 둔산지구 우림필유","72.46","202002","19","16,200","13","2006","대덕대로 319"
"대전광역시 서구 월평동","244","244","0","대전 둔산지구 우림필유","72.46","202003","20","17,100","11","2006","대덕대로 319"
"대전광역시 서구 월평동","241","241","0","둔산 만년오피스텔","50.44","201906","21","4,100","9","1998","월평북로 95"
"대전광역시 서구 월평동","243","243","0","스타게이트씨네몰","33.15","201911","26","5,000","16","2004","대덕대로 325"
"대전광역시 서구 월평동","243","243","0","스타게이트씨네몰","28","202002","7","3,500","17","2004","대덕대로 325"
"대전광역시 서구 탄방동","707","707","0","	나비家(가) 아르누보팰리스	","208.78","201908","10","75,000","13","2007","둔산중로 20"
"대전광역시 서구 탄방동","707","707","0","	나비家(가) 아르누보팰리스	","187.69","201910","10","68,000","14","2007","둔산중로 20"
"대전광역시 서구 탄방동","707","707","0","	나비家(가) 아르누보팰리스	","187.69","201910","19","69,700","15","2007","둔산중로 20"
"대전광역시 서구 탄방동","707","707","0","	나비家(가) 아르누보팰리스	","205.62","201911","27","70,000","6","2007","둔산중로 20"
"대전광역시 서구 탄방동","707","707","0","	나비家(가) 아르누보팰리스	","187.69","201911","28","63,000","6","2007","둔산중로 20"
"대전광역시 서구 탄방동","707","707","0","	나비家(가) 아르누보팰리스	","187.69","201912","6","71,000","9","2007","둔산중로 20"
"대전광역시 서구 탄방동","707","707","0","	나비家(가) 아르누보팰리스	","187.69","202001","13","69,800","13","2007","둔산중로 20"
"대전광역시 서구 탄방동","707","707","0","	나비家(가) 아르누보팰리스	","208.17","202002","18","79,500","10","2007","둔산중로 20"
"대전광역시 서구 탄방동","707","707","0","	나비家(가) 아르누보팰리스	","208.17","202003","23","80,000","5","2007","둔산중로 20"
