"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 대덕구 덕암동","77-10","0077","0010","현대빌라","45.72","47.26","202002","5","2,800","2","1989","덕암로153번길 33"
"대전광역시 대덕구 덕암동","38-19","0038","0019","현대빌라(2동)","45.29","30.03","201904","17","3,200","2","1990","덕암북로4번길 147"
"대전광역시 대덕구 덕암동","109-10","0109","0010","화인","44.105","29.37","201911","21","3,900","4","1991","덕암로125번길 30"
"대전광역시 대덕구 법동","406","0406","0000","(406-0)","32.34","67","201912","2","9,800","1","1981","아리랑로197번길 7-19"
"대전광역시 대덕구 비래동","103-9","0103","0009","(103-9)","68.6","63","202001","21","4,150","1","1984","비래서로10번길 6"
"대전광역시 대덕구 비래동","115-42","0115","0042","(115-42)","46.25","37.9","201911","11","4,400","2","1990","우암로492번길 78"
"대전광역시 대덕구 비래동","115-42","0115","0042","(115-42)","46.25","37.9","202003","24","4,000","2","1990","우암로492번길 78"
"대전광역시 대덕구 비래동","130-13","0130","0013","가양파크","56","74.28","201907","25","6,900","2","1983","비래동로39번길 22"
"대전광역시 대덕구 비래동","144-17","0144","0017","거성빌라","43.86","42.72","201904","19","6,000","1","1990","비래동로24번길 37"
"대전광역시 대덕구 비래동","129-25","0129","0025","구룡빌라","81.91","59.15","201905","18","13,500","2","2000","비래동로39번길 23"
"대전광역시 대덕구 비래동","558-10","0558","0010","금강맨션(B동)","54.75","47.3","201909","4","4,600","1","1984","동서대로1770번길 36"
"대전광역시 대덕구 비래동","125-3","0125","0003","낙원빌라","44.28","45.18","202001","21","7,000","2","1989","비래동로7번길 21"
"대전광역시 대덕구 비래동","128-5","0128","0005","대성빌라","47.7","31.06","201906","8","7,800","1","1994","비래동로31번길 11"
"대전광역시 대덕구 비래동","132-11","0132","0011","대송빌리지(가,나동)","54.06","41.69","201910","28","8,000","1","1997","우암동로7번길 22"
"대전광역시 대덕구 비래동","144-42","0144","0042","대양빌라","56.185","39.01","202003","9","7,400","3","1994","비래서로61번길 36"
"대전광역시 대덕구 비래동","137-46","0137","0046","대우빌라2동","60","38.4","201909","20","7,300","1","1994","비래동로32번길 25"
"대전광역시 대덕구 비래동","127-6","0127","0006","대우주택","45.27","35.11","201905","2","6,200","3","1992","비래동로23번길 11"
"대전광역시 대덕구 비래동","127-6","0127","0006","대우주택","45.27","35.11","201910","7","6,500","2","1992","비래동로23번길 11"
"대전광역시 대덕구 비래동","127-6","0127","0006","대우주택","45.27","35.11","202002","28","6,800","2","1992","비래동로23번길 11"
"대전광역시 대덕구 비래동","122-1","0122","0001","대우주택2동","59.95","35.48","201909","11","6,500","1","1997","비래동로15번길 61"
"대전광역시 대덕구 비래동","128-3","0128","0003","대우주택2동","59.96","38.26","201912","10","6,000","4","1996","비래동로31번길 17"
"대전광역시 대덕구 비래동","137-2","0137","0002","대운주택","77.2175","63.09","201904","24","8,500","2","1984","비래동로32번길 7"
"대전광역시 대덕구 비래동","137-2","0137","0002","대운주택","74.675","63.09","202001","26","9,200","2","1984","비래동로32번길 7"
"대전광역시 대덕구 비래동","146-30","0146","0030","대호빌라","55.7175","30.88","201904","9","8,000","4","1995","비래동로40번길 55"
"대전광역시 대덕구 비래동","144-32","0144","0032","대호아트빌라","53.68","29.79","201904","12","4,000","4","1991","비래동로32번길 42"
"대전광역시 대덕구 비래동","144-3","0144","0003","대호아트빌라","51.8","31.74","201905","2","4,900","4","1991","비래동로32번길 42-1"
"대전광역시 대덕구 비래동","123-30","0123","0030","리베라아트빌라","51","27.03","201909","20","7,000","4","1992","비래동로7번길 61"
"대전광역시 대덕구 비래동","125-17","0125","0017","보성빌라","46.08","47.53","201904","23","6,400","3","1989","비래동로7번길 25"
"대전광역시 대덕구 비래동","125-9","0125","0009","보성빌라","46.08","45.13","201910","23","6,500","2","1990","비래서로 31-1"
"대전광역시 대덕구 비래동","125-9","0125","0009","보성빌라","46.08","45.13","202002","21","6,800","1","1990","비래서로 31-1"
"대전광역시 대덕구 비래동","116-8","0116","0008","부광빌라(가,나동)","75.68","59.19","201910","12","11,500","1","1997","우암동로17번길 7"
"대전광역시 대덕구 비래동","556-36","0556","0036","브리스빌","59.9147","49.22","201909","2","12,000","4","2016","동서대로1778번길 20"
"대전광역시 대덕구 비래동","132-18","0132","0018","삼덕빌라","59.82","41.88","201905","29","7,100","1","1991","우암동로15번길 11"
"대전광역시 대덕구 비래동","132-36","0132","0036","삼덕빌라","59.82","41.82","202002","17","8,500","3","1991","우암동로15번길 9"
"대전광역시 대덕구 비래동","128-9","0128","0009","삼보빌라","76.825","45.07","201905","14","8,000","1","1995","비래동로23번길 24"
"대전광역시 대덕구 비래동","128-9","0128","0009","삼보빌라","76.825","45.07","201909","5","8,000","1","1995","비래동로23번길 24"
"대전광역시 대덕구 비래동","128-9","0128","0009","삼보빌라","76.825","45.07","201909","7","8,350","1","1995","비래동로23번길 24"
"대전광역시 대덕구 비래동","121-40","0121","0040","삼흥빌라(1,2동)","59.3","38.75","202003","28","8,270","2","1993","비래동로15번길 52"
"대전광역시 대덕구 비래동","138-46","0138","0046","삼흥빌라(1동)","69.525","41.09","201911","13","8,200","3","1995","비래동로24번길 31"
"대전광역시 대덕구 비래동","131-4","0131","0004","샤론빌라","66.79","38.3","201911","21","8,000","3","1995","우암동로7번길 25"
"대전광역시 대덕구 비래동","131-4","0131","0004","샤론빌라","66.79","38.3","202002","12","11,000","3","1995","우암동로7번길 25"
"대전광역시 대덕구 비래동","115-4","0115","0004","선인아트빌라","49.39","34.55","201910","7","7,000","4","1992","우암로492번길 60"
"대전광역시 대덕구 비래동","121-15","0121","0015","성정빌라","101.38","63.76","201909","6","16,300","3","2009","비래동로15번길 40"
"대전광역시 대덕구 비래동","121-15","0121","0015","성정빌라","71.85","45.19","202002","17","12,500","4","2009","비래동로15번길 40"
"대전광역시 대덕구 비래동","121-15","0121","0015","성정빌라","71.85","45.19","202003","17","9,200","2","2009","비래동로15번길 40"
"대전광역시 대덕구 비래동","555-13","0555","0013","세일빌라","73.02","47.09","202001","2","11,350","1","1997","동서대로1770번길 7"
"대전광역시 대덕구 비래동","558-36","0558","0036","소망빌라","48.67","29.93","202001","14","5,100","2","1990","비래서로10번길 55"
"대전광역시 대덕구 비래동","558-31","0558","0031","소망빌라(나)","42.14","29.5","201911","15","4,000","1","1990","비래서로10번길 53-1"
"대전광역시 대덕구 비래동","558-32","0558","0032","소망빌라(라동)","43.2","29.88","201907","27","4,500","1","1990","비래서로10번길 55-1"
"대전광역시 대덕구 비래동","559-22","0559","0022","수정맨션","61.33","35.82","201910","30","6,500","4","1994","동서대로1754번길 39"
"대전광역시 대덕구 비래동","123-8","0123","0008","수정맨션","61.2","64.18","201911","28","7,200","2","1980","비래서로 19"
"대전광역시 대덕구 비래동","128-8","0128","0008","에코빌","69.4275","48.67","201912","2","16,000","4","2017","비래동로23번길 14"
"대전광역시 대덕구 비래동","128-8","0128","0008","에코빌","52.03","36.48","202001","23","14,500","5","2017","비래동로23번길 14"
"대전광역시 대덕구 비래동","128-8","0128","0008","에코빌","38.23","26.8","202003","13","9,900","5","2017","비래동로23번길 14"
"대전광역시 대덕구 비래동","128-8","0128","0008","에코빌","72.0675","50.52","202003","24","17,900","5","2017","비래동로23번길 14"
"대전광역시 대덕구 비래동","126-50","0126","0050","영흥빌라","44.74","35.56","201907","16","4,500","2","1990","비래서로25번길 20"
"대전광역시 대덕구 비래동","126-49","0126","0049","영흥빌라","44.74","32.25","201910","11","4,850","2","1990","비래서로25번길 18"
"대전광역시 대덕구 비래동","126-46","0126","0046","영흥빌라","44.74","45.44","202002","26","6,900","1","1990","비래서로25번길 22"
"대전광역시 대덕구 비래동","122-23","0122","0023","오성빌라","45.99","33.6","202003","10","5,600","2","1990","비래서로25번길 29"
"대전광역시 대덕구 비래동","122-9","0122","0009","오성빌라","45.99","33.5","202003","18","5,700","3","1990","비래서로25번길 31"
"대전광역시 대덕구 비래동","115-44","0115","0044","우정빌라","39.38","22.15","201908","1","3,700","4","1992","우암동로17번길 20"
"대전광역시 대덕구 비래동","115-16","0115","0016","우정빌라","36.16","25.29","202003","13","1,550","-1","1992","우암동로17번길 22"
"대전광역시 대덕구 비래동","127-28","0127","0028","은성빌라","61.8","44.16","201906","18","6,950","1","2002","비래동로23번길 15"
"대전광역시 대덕구 비래동","119-24","0119","0024","은혜주택","52.33","49.7","201909","11","6,200","2","1989","비래동로31번길 42"
"대전광역시 대덕구 비래동","119-24","0119","0024","은혜주택","52.33","49.7","202001","30","5,000","1","1989","비래동로31번길 42"
"대전광역시 대덕구 비래동","119-24","0119","0024","은혜주택","52.33","49.7","202002","21","4,900","1","1989","비래동로31번길 42"
"대전광역시 대덕구 비래동","147-9","0147","0009","인정아트빌라","56.85","34.55","201906","24","4,000","-1","1998","우암로 440"
"대전광역시 대덕구 비래동","146-2","0146","0002","인정아트빌라","58.02","35.13","201912","27","7,350","2","1995","우암로 437"
"대전광역시 대덕구 비래동","147-9","0147","0009","인정아트빌라","56.85","34.55","202001","1","7,700","1","1998","우암로 440"
"대전광역시 대덕구 비래동","134-10","0134","0010","중부빌라","52.8","37.07","201905","2","6,300","1","1991","우암동로18번길 25"
"대전광역시 대덕구 비래동","309-16","0309","0016","진흥빌라","49.68","36.11","201907","11","3,200","4","1991","우암로412번길 124"
"대전광역시 대덕구 비래동","135-3","0135","0003","청양2동","80.5","52.5","201910","31","9,000","1","1984","우암로450번길 10"
"대전광역시 대덕구 비래동","130-11","0130","0011","태성빌라","53.91","40.05","201909","9","6,000","1","1986","비래동로39번길 8"
"대전광역시 대덕구 비래동","556-34","0556","0034","한성하이빌(A동)","76.05","43.75","202002","29","14,500","2","2002","비래서로10번길 45"
"대전광역시 대덕구 비래동","139-4","0139","0004","한움빌라","69.84","41.76","201908","23","8,300","1","1993","비래동로24번길 24"
"대전광역시 대덕구 비래동","132-33","0132","0033","한음빌라","35.7","18.5","202003","23","3,800","1","1991","우암동로15번길 3"
"대전광역시 대덕구 비래동","122-10","0122","0010","훼미리맨션A동","78.3","50.62","202003","17","13,950","3","2001","비래동로7번길 46"
"대전광역시 대덕구 비래동","122-29","0122","0029","훼미리맨션B동","82.95","51.53","201912","27","10,000","3","2001","비래서로25번길 19"
"대전광역시 대덕구 비래동","122-31","0122","0031","훼미리맨션C동","73.97","35.37","201908","19","11,000","4","2001","비래동로7번길 40"
"대전광역시 대덕구 비래동","121-38","0121","0038","흥진빌라","59.3","18.61","201910","15","7,900","1","1993","비래동로15번길 46"
"대전광역시 대덕구 비래동","121-38","0121","0038","흥진빌라","59.3","18.61","201911","6","7,950","1","1993","비래동로15번길 46"
"대전광역시 대덕구 상서동","830-12","0830","0012","영구주택","52.08","36.22","201910","7","5,000","2","1991","덕암로136번길 13"
"대전광역시 대덕구 상서동","828-10","0828","0010","진산잉꼬빌라","46.08","43.4","201910","4","4,900","1","1991","덕암로148번안길 13"
"대전광역시 대덕구 상서동","831-37","0831","0037","진주빌라","55.62","40.03","202002","17","5,000","1","1995","덕암로118번길 29-15"
"대전광역시 대덕구 석봉동","415-27","0415","0027","(415-27)","44.9","23.69","201907","4","4,500","2","2003","석봉로37번길 52-12"
"대전광역시 대덕구 석봉동","415-27","0415","0027","(415-27)","23.5","12.4","201908","1","6,000","4","2003","석봉로37번길 52-12"
"대전광역시 대덕구 석봉동","322-11","0322","0011","덕수주택","76.4325","91.32","201905","21","6,400","2","1988","덕암북로 97"
"대전광역시 대덕구 석봉동","322-11","0322","0011","덕수주택","76.4325","91.32","201912","9","7,200","2","1988","덕암북로 97"
"대전광역시 대덕구 석봉동","423-7","0423","0007","부자연립(423-7)","46.08","42.5","201911","7","5,450","2","1988","대덕대로1593번길 13"
"대전광역시 대덕구 석봉동","305-38","0305","0038","선일빌라","76.725","61.14","201905","20","10,500","1","1998","석봉북로23번길 24"
