"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200401 ~ 20200430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 태백시 장성동","135-2","0135","0002","협심주택","56.28","66.42","202004","13","3,000","1","1986","협심길 15"
"강원도 태백시 통동","74-9","0074","0009","덕흥","48.16","62.56","202004","29","4,300","2","1988","통리1길 53"
"강원도 태백시 통동","225","0225","0000","하나연립","45.15","90.96","202004","3","2,700","1","1986","솔안길 140"
"강원도 태백시 통동","225","0225","0000","하나연립","45.15","90.96","202004","12","2,250","1","1986","솔안길 140"
"강원도 태백시 통동","225","0225","0000","하나연립","45.15","90.96","202004","12","2,200","1","1986","솔안길 140"
"강원도 태백시 통동","225","0225","0000","하나연립","45.15","90.96","202004","12","2,800","1","1986","솔안길 140"
"강원도 태백시 통동","225","0225","0000","하나연립","45.15","90.96","202004","16","2,000","1","1986","솔안길 140"
"강원도 태백시 통동","225","0225","0000","하나연립","45.15","90.96","202004","21","2,200","2","1986","솔안길 140"
"강원도 태백시 통동","259","0259","0000","한보5차","47.88","128.76","202004","14","1,400","1","1989","짝바우골길 47"
"강원도 태백시 통동","259","0259","0000","한보5차","47.88","128.76","202004","17","1,000","3","1989","짝바우골길 47"
