index,위도,경도,도로명주소,API,교통,마트편의점,교육시설,의료시설,음식점카페,문화공간
864,127.371521497,36.310627657,대전광역시 서구 도마동 도림6길 9,"{'교통': 0, '마트편의점': 25, '교육시설': 97, '의료시설': 89, '음식점카페': 401, '문화공간': 8}",0,25,97,89,401,8
865,127.371209919,36.310621595,대전광역시 서구 도마동 도림6길 13,"{'교통': 0, '마트편의점': 25, '교육시설': 96, '의료시설': 89, '음식점카페': 396, '문화공간': 8}",0,25,96,89,396,8
866,127.378901844,36.318460713,대전광역시 서구 도마동 도마8길 12,"{'교통': 0, '마트편의점': 28, '교육시설': 92, '의료시설': 81, '음식점카페': 539, '문화공간': 3}",0,28,92,81,539,3
867,127.371962394,36.310408921,대전광역시 서구 도마동 도림3길 5,"{'교통': 0, '마트편의점': 25, '교육시설': 98, '의료시설': 89, '음식점카페': 409, '문화공간': 8}",0,25,98,89,409,8
868,127.369211469,36.310622738,대전광역시 서구 도마동 도림6길 43,"{'교통': 0, '마트편의점': 23, '교육시설': 102, '의료시설': 60, '음식점카페': 335, '문화공간': 8}",0,23,102,60,335,8
869,127.380772872,36.311223157,대전광역시 서구 도마동 대신3길 49,"{'교통': 0, '마트편의점': 18, '교육시설': 87, '의료시설': 91, '음식점카페': 429, '문화공간': 8}",0,18,87,91,429,8
870,127.374629805,36.311407571,대전광역시 서구 도마동 도솔로 8,"{'교통': 0, '마트편의점': 22, '교육시설': 77, '의료시설': 74, '음식점카페': 408, '문화공간': 7}",0,22,77,74,408,7
871,127.376947074,36.314276676,대전광역시 서구 도마동 제비네11길 47,"{'교통': 0, '마트편의점': 24, '교육시설': 70, '의료시설': 77, '음식점카페': 433, '문화공간': 7}",0,24,70,77,433,7
872,127.368780531,36.311752346,대전광역시 서구 도마동 배재로 30-1,"{'교통': 0, '마트편의점': 24, '교육시설': 91, '의료시설': 56, '음식점카페': 331, '문화공간': 8}",0,24,91,56,331,8
873,127.381291277,36.315515900,대전광역시 서구 도마동 도마4길 30,"{'교통': 0, '마트편의점': 21, '교육시설': 99, '의료시설': 79, '음식점카페': 474, '문화공간': 4}",0,21,99,79,474,4
874,127.370792729,36.313213876,대전광역시 서구 도마동 배재로46번길 33,"{'교통': 0, '마트편의점': 28, '교육시설': 87, '의료시설': 92, '음식점카페': 428, '문화공간': 9}",0,28,87,92,428,9
875,127.371145201,36.313858027,대전광역시 서구 도마동 도솔5길 78,"{'교통': 0, '마트편의점': 30, '교육시설': 84, '의료시설': 83, '음식점카페': 462, '문화공간': 9}",0,30,84,83,462,9
876,127.375830129,36.320406505,대전광역시 서구 도마동 용화5길 22,"{'교통': 0, '마트편의점': 34, '교육시설': 85, '의료시설': 87, '음식점카페': 559, '문화공간': 5}",0,34,85,87,559,5
877,127.375835083,36.320208951,대전광역시 서구 도마동 용화5길 18,"{'교통': 0, '마트편의점': 34, '교육시설': 85, '의료시설': 87, '음식점카페': 558, '문화공간': 5}",0,34,85,87,558,5
878,127.375827764,36.320029909,대전광역시 서구 도마동 용화5길 16,"{'교통': 0, '마트편의점': 35, '교육시설': 86, '의료시설': 87, '음식점카페': 560, '문화공간': 5}",0,35,86,87,560,5
879,127.373779862,36.314621770,대전광역시 서구 도마동 도솔로 46,"{'교통': 0, '마트편의점': 31, '교육시설': 80, '의료시설': 82, '음식점카페': 486, '문화공간': 9}",0,31,80,82,486,9
880,127.382151289,36.319855579,대전광역시 서구 도마동 도마17길 74,"{'교통': 0, '마트편의점': 25, '교육시설': 135, '의료시설': 90, '음식점카페': 580, '문화공간': 4}",0,25,135,90,580,4
881,127.375848718,36.318943652,대전광역시 서구 도마동 조달청길 72,"{'교통': 0, '마트편의점': 35, '교육시설': 86, '의료시설': 86, '음식점카페': 551, '문화공간': 6}",0,35,86,86,551,6
882,127.379543026,36.320271492,대전광역시 서구 도마동 도마19길 38-1,"{'교통': 0, '마트편의점': 28, '교육시설': 90, '의료시설': 88, '음식점카페': 533, '문화공간': 4}",0,28,90,88,533,4
883,127.379571109,36.320505349,대전광역시 서구 도마동 도마19길 38,"{'교통': 0, '마트편의점': 28, '교육시설': 91, '의료시설': 89, '음식점카페': 542, '문화공간': 3}",0,28,91,89,542,3
884,127.379714426,36.320251933,대전광역시 서구 도마동 도마19길 40-1,"{'교통': 0, '마트편의점': 27, '교육시설': 92, '의료시설': 89, '음식점카페': 533, '문화공간': 4}",0,27,92,89,533,4
885,127.370388961,36.310622159,대전광역시 서구 도마동 도림6길 29,"{'교통': 0, '마트편의점': 25, '교육시설': 98, '의료시설': 83, '음식점카페': 376, '문화공간': 8}",0,25,98,83,376,8
886,127.37023386,36.310623271,대전광역시 서구 도마동 도림6길 31,"{'교통': 0, '마트편의점': 25, '교육시설': 102, '의료시설': 81, '음식점카페': 374, '문화공간': 8}",0,25,102,81,374,8
887,127.370077756,36.310624295,대전광역시 서구 도마동 도림6길 33,"{'교통': 0, '마트편의점': 25, '교육시설': 103, '의료시설': 76, '음식점카페': 367, '문화공간': 8}",0,25,103,76,367,8
888,127.370819882,36.314715249,대전광역시 서구 도마동 도솔6길 67,"{'교통': 0, '마트편의점': 29, '교육시설': 78, '의료시설': 78, '음식점카페': 464, '문화공간': 9}",0,29,78,78,464,9
889,127.372472628,36.324133839,대전광역시 서구 도마동 도마로19번길 38,"{'교통': 0, '마트편의점': 36, '교육시설': 84, '의료시설': 40, '음식점카페': 466, '문화공간': 3}",0,36,84,40,466,3
890,127.370328003,36.312942259,대전광역시 서구 도마동 배재로46번길 26,"{'교통': 0, '마트편의점': 27, '교육시설': 88, '의료시설': 91, '음식점카페': 412, '문화공간': 7}",0,27,88,91,412,7
891,127.378589776,36.321652509,대전광역시 서구 도마동 도마16길 65,"{'교통': 0, '마트편의점': 29, '교육시설': 101, '의료시설': 73, '음식점카페': 569, '문화공간': 3}",0,29,101,73,569,3
892,127.376080604,36.312831208,대전광역시 서구 도마동 제비네7길 37,"{'교통': 0, '마트편의점': 21, '교육시설': 69, '의료시설': 70, '음식점카페': 367, '문화공간': 7}",0,21,69,70,367,7
893,127.375728214,36.327826142,대전광역시 서구 변동 도산로207번길 77-1,"{'교통': 0, '마트편의점': 36, '교육시설': 151, '의료시설': 60, '음식점카페': 500, '문화공간': 3}",0,36,151,60,500,3
894,127.385670487,36.323945903,대전광역시 서구 변동 유등로 367,"{'교통': 0, '마트편의점': 26, '교육시설': 216, '의료시설': 71, '음식점카페': 575, '문화공간': 6}",0,26,216,71,575,6
895,127.379065118,36.324099776,대전광역시 서구 변동 변정1길 48,"{'교통': 0, '마트편의점': 28, '교육시설': 129, '의료시설': 54, '음식점카페': 549, '문화공간': 5}",0,28,129,54,549,5
896,127.385022171,36.326334404,대전광역시 서구 변동 중반5길 88,"{'교통': 0, '마트편의점': 28, '교육시설': 177, '의료시설': 80, '음식점카페': 480, '문화공간': 6}",0,28,177,80,480,6
897,127.378664995,36.326934080,대전광역시 서구 변동 도산로207번길 19,"{'교통': 0, '마트편의점': 32, '교육시설': 159, '의료시설': 69, '음식점카페': 531, '문화공간': 4}",0,32,159,69,531,4
898,127.375675758,36.323371420,대전광역시 서구 변동 도마로49번길 23,"{'교통': 0, '마트편의점': 34, '교육시설': 109, '의료시설': 45, '음식점카페': 554, '문화공간': 4}",0,34,109,45,554,4
899,127.375369114,36.323522249,대전광역시 서구 변동 도마로43번길 26,"{'교통': 0, '마트편의점': 34, '교육시설': 112, '의료시설': 45, '음식점카페': 549, '문화공간': 4}",0,34,112,45,549,4
900,127.384520260,36.324867189,대전광역시 서구 변동 중반3길 132,"{'교통': 0, '마트편의점': 27, '교육시설': 197, '의료시설': 74, '음식점카페': 481, '문화공간': 4}",0,27,197,74,481,4
901,127.370250187,36.329685877,대전광역시 서구 변동 변동서로 3,"{'교통': 0, '마트편의점': 29, '교육시설': 118, '의료시설': 31, '음식점카페': 318, '문화공간': 2}",0,29,118,31,318,2
902,127.375839118,36.327960790,대전광역시 서구 변동 도산로207번길 75,"{'교통': 0, '마트편의점': 35, '교육시설': 151, '의료시설': 60, '음식점카페': 504, '문화공간': 3}",0,35,151,60,504,3
903,127.384920107,36.325327936,대전광역시 서구 변동 중반3길 91,"{'교통': 0, '마트편의점': 25, '교육시설': 203, '의료시설': 77, '음식점카페': 474, '문화공간': 4}",0,25,203,77,474,4
904,127.380263202,36.323551028,대전광역시 서구 변동 변정6길 35,"{'교통': 0, '마트편의점': 23, '교육시설': 132, '의료시설': 55, '음식점카페': 546, '문화공간': 5}",0,23,132,55,546,5
905,127.380471965,36.323701762,대전광역시 서구 변동 변정6길 35-1,"{'교통': 0, '마트편의점': 22, '교육시설': 132, '의료시설': 54, '음식점카페': 546, '문화공간': 5}",0,22,132,54,546,5
906,127.386558447,36.326637198,대전광역시 서구 변동 중반7길 62,"{'교통': 0, '마트편의점': 29, '교육시설': 192, '의료시설': 83, '음식점카페': 549, '문화공간': 7}",0,29,192,83,549,7
907,127.383244758,36.321862158,대전광역시 서구 변동 변정7길 100,"{'교통': 0, '마트편의점': 24, '교육시설': 158, '의료시설': 81, '음식점카페': 570, '문화공간': 5}",0,24,158,81,570,5
908,127.385426920,36.327064766,대전광역시 서구 변동 중반8길 90,"{'교통': 0, '마트편의점': 29, '교육시설': 171, '의료시설': 76, '음식점카페': 536, '문화공간': 6}",0,29,171,76,536,6
909,127.367651376,36.328593920,대전광역시 서구 변동 변동서로27번길 28-1,"{'교통': 0, '마트편의점': 20, '교육시설': 78, '의료시설': 18, '음식점카페': 252, '문화공간': 2}",0,20,78,18,252,2
910,127.374400552,36.329478203,대전광역시 서구 변동 동서대로1030번길 52,"{'교통': 0, '마트편의점': 36, '교육시설': 139, '의료시설': 56, '음식점카페': 474, '문화공간': 3}",0,36,139,56,474,3
911,127.368161051,36.328388054,대전광역시 서구 변동 배재로227번길 37-12,"{'교통': 0, '마트편의점': 21, '교육시설': 79, '의료시설': 17, '음식점카페': 263, '문화공간': 2}",0,21,79,17,263,2
912,127.376503074,36.328391807,대전광역시 서구 변동 변동중로64번길 33,"{'교통': 0, '마트편의점': 37, '교육시설': 157, '의료시설': 60, '음식점카페': 535, '문화공간': 4}",0,37,157,60,535,4
913,127.374394136,36.330208989,대전광역시 서구 변동 동서대로1022번길 41-1,"{'교통': 0, '마트편의점': 37, '교육시설': 144, '의료시설': 58, '음식점카페': 495, '문화공간': 4}",0,37,144,58,495,4
914,127.384099031,36.321341869,대전광역시 서구 변동 도마로 125,"{'교통': 0, '마트편의점': 27, '교육시설': 157, '의료시설': 89, '음식점카페': 605, '문화공간': 5}",0,27,157,89,605,5
915,127.384149618,36.321551862,대전광역시 서구 변동 변정4길 39,"{'교통': 0, '마트편의점': 27, '교육시설': 156, '의료시설': 87, '음식점카페': 599, '문화공간': 6}",0,27,156,87,599,6
916,127.387078750,36.326341369,대전광역시 서구 변동 중반9길 23,"{'교통': 0, '마트편의점': 31, '교육시설': 229, '의료시설': 87, '음식점카페': 561, '문화공간': 7}",0,31,229,87,561,7
917,127.381471509,36.321995708,대전광역시 서구 변동 도마로 101-1,"{'교통': 0, '마트편의점': 22, '교육시설': 119, '의료시설': 71, '음식점카페': 514, '문화공간': 4}",0,22,119,71,514,4
918,127.372071179,36.328496614,대전광역시 서구 변동 배재로232번길 32,"{'교통': 0, '마트편의점': 29, '교육시설': 130, '의료시설': 39, '음식점카페': 379, '문화공간': 2}",0,29,130,39,379,2
919,127.382988914,36.322581579,대전광역시 서구 변동 변정6길 108,"{'교통': 0, '마트편의점': 27, '교육시설': 164, '의료시설': 61, '음식점카페': 545, '문화공간': 5}",0,27,164,61,545,5
920,127.383139853,36.322544417,대전광역시 서구 변동 변정6길 110,"{'교통': 0, '마트편의점': 28, '교육시설': 166, '의료시설': 60, '음식점카페': 555, '문화공간': 5}",0,28,166,60,555,5
921,127.383358617,36.32246279,대전광역시 서구 변동 변정6길 112,"{'교통': 0, '마트편의점': 26, '교육시설': 165, '의료시설': 61, '음식점카페': 568, '문화공간': 5}",0,26,165,61,568,5
922,127.385261527,36.324076721,대전광역시 서구 변동 중반2길 120,"{'교통': 0, '마트편의점': 26, '교육시설': 207, '의료시설': 69, '음식점카페': 544, '문화공간': 6}",0,26,207,69,544,6
923,127.384617445,36.325017913,대전광역시 서구 변동 중반3길 130,"{'교통': 0, '마트편의점': 26, '교육시설': 201, '의료시설': 75, '음식점카페': 478, '문화공간': 4}",0,26,201,75,478,4
924,127.383973975,36.322318699,대전광역시 서구 변동 변정4길 26,"{'교통': 0, '마트편의점': 25, '교육시설': 161, '의료시설': 61, '음식점카페': 585, '문화공간': 6}",0,25,161,61,585,6
925,127.376830952,36.327767068,대전광역시 서구 변동 도산로207번길 58,"{'교통': 0, '마트편의점': 35, '교육시설': 149, '의료시설': 66, '음식점카페': 526, '문화공간': 4}",0,35,149,66,526,4
926,127.384154119,36.327801071,대전광역시 서구 변동 중반6길 86,"{'교통': 0, '마트편의점': 32, '교육시설': 160, '의료시설': 63, '음식점카페': 541, '문화공간': 5}",0,32,160,63,541,5
927,127.385565278,36.327004391,대전광역시 서구 변동 중반7길 34,"{'교통': 0, '마트편의점': 30, '교육시설': 174, '의료시설': 77, '음식점카페': 529, '문화공간': 6}",0,30,174,77,529,6
928,127.385141866,36.327392632,대전광역시 서구 변동 중반7길 24,"{'교통': 0, '마트편의점': 30, '교육시설': 165, '의료시설': 71, '음식점카페': 538, '문화공간': 6}",0,30,165,71,538,6
929,127.3751892,36.329573238,대전광역시 서구 변동 동서대로1030번길 45-10,"{'교통': 0, '마트편의점': 37, '교육시설': 142, '의료시설': 59, '음식점카페': 523, '문화공간': 3}",0,37,142,59,523,3
930,127.383998380,36.323298292,대전광역시 서구 변동 변정5길 119,"{'교통': 0, '마트편의점': 26, '교육시설': 189, '의료시설': 61, '음식점카페': 568, '문화공간': 6}",0,26,189,61,568,6
931,127.367910694,36.328910878,대전광역시 서구 변동 변동서로27번길 19-6,"{'교통': 0, '마트편의점': 20, '교육시설': 84, '의료시설': 21, '음식점카페': 254, '문화공간': 2}",0,20,84,21,254,2
